CHECKSUM,NODEGROUP,DATA_FREE,TABLE_ROWS,TABLE_NAME,CHECK_TIME,UPDATE_TIME,CREATE_TIME,DATA_LENGTH,INDEX_LENGTH,TABLE_SCHEMA,TABLE_CATALOG,AVG_ROW_LENGTH,PARTITION_NAME,TABLESPACE_NAME,MAX_DATA_LENGTH,PARTITION_METHOD,SUBPARTITION_NAME,PARTITION_COMMENT,SUBPARTITION_METHOD,PARTITION_EXPRESSION,PARTITION_DESCRIPTION,SUBPARTITION_EXPRESSION,PARTITION_ORDINAL_POSITION,SUBPARTITION_ORDINAL_POSITION
NULL,<blank>,0,0,SCHEMA_PRIVILEGES,NULL,NULL,2017-12-03 14:04:48,0,0,information_schema,def,2179,NULL,NULL,16767405,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,SESSION_STATUS,NULL,NULL,2017-12-03 14:04:48,0,0,information_schema,def,3268,NULL,NULL,16755036,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,SESSION_VARIABLES,NULL,NULL,2017-12-03 14:04:48,0,0,information_schema,def,3268,NULL,NULL,16755036,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,STATISTICS,NULL,NULL,2017-12-03 14:04:48,0,0,information_schema,def,5753,NULL,NULL,16764242,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,TABLES,NULL,NULL,2017-12-03 14:04:48,0,0,information_schema,def,9450,NULL,NULL,16764300,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,TABLESPACES,NULL,NULL,2017-12-03 14:04:48,0,0,information_schema,def,6951,NULL,NULL,16772763,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,TABLE_CONSTRAINTS,NULL,NULL,2017-12-03 14:04:48,0,0,information_schema,def,2504,NULL,NULL,16749256,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,TABLE_PRIVILEGES,NULL,NULL,2017-12-03 14:04:48,0,0,information_schema,def,2372,NULL,NULL,16748692,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,TRIGGERS,NULL,2017-12-03 14:04:48,2017-12-03 14:04:48,0,1024,information_schema,def,0,NULL,NULL,281474976710655,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,USER_PRIVILEGES,NULL,NULL,2017-12-03 14:04:48,0,0,information_schema,def,1986,NULL,NULL,16759854,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,VIEWS,NULL,2017-12-03 14:04:48,2017-12-03 14:04:48,0,1024,information_schema,def,0,NULL,NULL,281474976710655,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_BUFFER_PAGE,NULL,NULL,2017-12-03 14:04:48,0,0,information_schema,def,6852,NULL,NULL,16766844,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_TRX,NULL,NULL,2017-12-03 14:04:48,0,0,information_schema,def,4534,NULL,NULL,16766732,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_BUFFER_POOL_STATS,NULL,NULL,2017-12-03 14:04:48,0,0,information_schema,def,257,NULL,NULL,16583439,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_LOCK_WAITS,NULL,NULL,2017-12-03 14:04:48,0,0,information_schema,def,599,NULL,NULL,16749238,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_CMPMEM,NULL,NULL,2017-12-03 14:04:48,0,0,information_schema,def,29,NULL,NULL,15204352,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_CMP,NULL,NULL,2017-12-03 14:04:48,0,0,information_schema,def,25,NULL,NULL,14979650,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_LOCKS,NULL,NULL,2017-12-03 14:04:48,0,0,information_schema,def,31244,NULL,NULL,16746784,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_CMPMEM_RESET,NULL,NULL,2017-12-03 14:04:48,0,0,information_schema,def,29,NULL,NULL,15204352,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_CMP_RESET,NULL,NULL,2017-12-03 14:04:48,0,0,information_schema,def,25,NULL,NULL,14979650,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,0,INNODB_BUFFER_PAGE_LRU,NULL,NULL,2017-12-03 14:04:48,0,0,information_schema,def,6669,NULL,NULL,16765866,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,2,db_default,NULL,NULL,2015-09-16 15:55:03,16384,0,Member_Brute_Force,def,8192,NULL,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,4,users,NULL,NULL,2015-09-16 15:55:03,16384,0,Member_Sql_Injection,def,4096,NULL,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,1,guestbook,NULL,NULL,2015-09-16 15:55:03,16384,0,Member_guestbook,def,16384,NULL,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,6,list_images,NULL,NULL,2015-09-16 15:55:03,16384,0,Member_images,def,2730,NULL,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL
NULL,<blank>,0,5,vote_dbs,NULL,NULL,2015-09-16 15:55:03,16384,0,Member_survey,def,3276,NULL,NULL,NULL,NULL,NULL,<blank>,NULL,NULL,NULL,NULL,NULL,NULL

